"year","scenario","co2","tas","variable"
1850,"historical",2.66950256585423,-0.0710460897093518,"global_tas"
1851,"historical",5.35717458023668,-0.0584004987286945,"global_tas"
1852,"historical",8.07141378045956,-0.0472316671192248,"global_tas"
1853,"historical",10.8130832717812,-0.0516321988125891,"global_tas"
1854,"historical",13.6041817791457,-0.0583515179177925,"global_tas"
1855,"historical",16.4099454758668,-0.0500349416350947,"global_tas"
1856,"historical",19.2474191563237,-0.0405499458836462,"global_tas"
1857,"historical",22.1088440836718,-0.0471816636910027,"global_tas"
1858,"historical",24.9927501964785,-0.0412267999589542,"global_tas"
1859,"historical",27.9049217222448,-0.0285411142596534,"global_tas"
1860,"historical",30.7696478522384,-0.0160869620475349,"global_tas"
1861,"historical",33.6214966084409,-0.0107504590690464,"global_tas"
1862,"historical",36.4655327570208,-0.0699355918769295,"global_tas"
1863,"historical",39.3251709879134,-0.086549183285911,"global_tas"
1864,"historical",42.2070468729119,-0.0676519755643524,"global_tas"
1865,"historical",45.1136105576025,-0.0435112217781703,"global_tas"
1866,"historical",48.0229579163205,-0.022316767415017,"global_tas"
1867,"historical",50.9578238823511,-0.0059669243309025,"global_tas"
1868,"historical",53.9009016689757,0.00644675922949611,"global_tas"
1869,"historical",56.874011112169,0.0172457716542909,"global_tas"
1870,"historical",60.0611227579112,0.0260314950053567,"global_tas"
1871,"historical",63.3824500254103,0.0344719169603963,"global_tas"
1872,"historical",66.829971904665,0.0422717544665039,"global_tas"
1873,"historical",70.3797272523048,0.0307065765049521,"global_tas"
1874,"historical",73.9379144509481,0.0315181780587045,"global_tas"
1875,"historical",77.598562180273,0.0369411157019969,"global_tas"
1876,"historical",81.3118644789432,0.0424423979440669,"global_tas"
1877,"historical",85.0755021147957,0.0507804986526004,"global_tas"
1878,"historical",88.8776718637678,0.0594112557734701,"global_tas"
1879,"historical",92.7549945759907,0.0664235686627873,"global_tas"
1880,"historical",96.7429409467569,0.0690453263355411,"global_tas"
1881,"historical",100.80690078529,0.0714377664914505,"global_tas"
1882,"historical",104.953804510951,0.0776476191032071,"global_tas"
1883,"historical",109.197425948991,0.0398767593875413,"global_tas"
1884,"historical",113.484420712943,-0.119981964079749,"global_tas"
1885,"historical",117.80868371557,-0.147886500494522,"global_tas"
1886,"historical",122.167077680191,-0.107532074647423,"global_tas"
1887,"historical",126.596184857994,-0.0723236257208584,"global_tas"
1888,"historical",131.16168034024,-0.0367514026207665,"global_tas"
1889,"historical",135.751798789722,-0.00548853106765219,"global_tas"
1890,"historical",140.568594304381,0.00687006674000343,"global_tas"
1891,"historical",145.546176042902,0.00118059591260702,"global_tas"
1892,"historical",150.596627517148,0.0127213699996938,"global_tas"
1893,"historical",155.677313980803,0.0335024637719524,"global_tas"
1894,"historical",160.852884571491,0.0497733685301966,"global_tas"
1895,"historical",166.156773281308,0.0625874445082943,"global_tas"
1896,"historical",171.546741357766,0.0733772530836789,"global_tas"
1897,"historical",177.051073250056,0.0819455524910095,"global_tas"
1898,"historical",182.670052912995,0.0892294341577735,"global_tas"
1899,"historical",188.468842596033,0.0942720825442566,"global_tas"
1900,"historical",194.481212886423,0.0987712300430105,"global_tas"
1901,"historical",200.649921128389,0.103508748832772,"global_tas"
1902,"historical",206.917702592175,0.0993292691990439,"global_tas"
1903,"historical",213.426435026944,0.0269154978732349,"global_tas"
1904,"historical",220.006042238372,0.00547700245954166,"global_tas"
1905,"historical",226.776571710856,0.0240678544592567,"global_tas"
1906,"historical",233.706375685239,0.0476659483190785,"global_tas"
1907,"historical",240.994577914199,0.0525189433723629,"global_tas"
1908,"historical",248.204218949164,0.061568411376238,"global_tas"
1909,"historical",255.559917547181,0.0749277395858123,"global_tas"
1910,"historical",263.030874466495,0.0844619499750607,"global_tas"
1911,"historical",270.533887263884,0.0931063493561142,"global_tas"
1912,"historical",278.163658450817,0.0622626953055169,"global_tas"
