"scenario","year","variable","value","units","version"
"ssp119",1750,"CO2_concentration",277.147003173828,"ppmv CO2",3.2.0
"ssp119",1751,"CO2_concentration",277.188000996908,"ppmv CO2",3.2.0
"ssp119",1752,"CO2_concentration",277.229001363118,"ppmv CO2",3.2.0
"ssp119",1753,"CO2_concentration",277.263000488281,"ppmv CO2",3.2.0
"ssp119",1754,"CO2_concentration",277.304003397624,"ppmv CO2",3.2.0
"ssp119",1755,"CO2_concentration",277.351003011068,"ppmv CO2",3.2.0
"ssp119",1756,"CO2_concentration",277.388999938965,"ppmv CO2",3.2.0
"ssp119",1757,"CO2_concentration",277.441998799642,"ppmv CO2",3.2.0
"ssp119",1758,"CO2_concentration",277.489000956217,"ppmv CO2",3.2.0
"ssp119",1759,"CO2_concentration",277.539998372396,"ppmv CO2",3.2.0
"ssp119",1760,"CO2_concentration",277.605003356934,"ppmv CO2",3.2.0
"ssp119",1761,"CO2_concentration",277.663998921712,"ppmv CO2",3.2.0
"ssp119",1762,"CO2_concentration",277.732002258301,"ppmv CO2",3.2.0
"ssp119",1763,"CO2_concentration",277.795997619629,"ppmv CO2",3.2.0
"ssp119",1764,"CO2_concentration",277.8590037028,"ppmv CO2",3.2.0
"ssp119",1765,"CO2_concentration",277.912999471029,"ppmv CO2",3.2.0
"ssp119",1766,"CO2_concentration",277.958000183105,"ppmv CO2",3.2.0
"ssp119",1767,"CO2_concentration",278.016998291016,"ppmv CO2",3.2.0
"ssp119",1768,"CO2_concentration",278.077995300293,"ppmv CO2",3.2.0
"ssp119",1769,"CO2_concentration",278.135004679362,"ppmv CO2",3.2.0
"ssp119",1770,"CO2_concentration",278.193997701009,"ppmv CO2",3.2.0
"ssp119",1771,"CO2_concentration",278.270001729329,"ppmv CO2",3.2.0
"ssp119",1772,"CO2_concentration",278.333999633789,"ppmv CO2",3.2.0
"ssp119",1773,"CO2_concentration",278.411994934082,"ppmv CO2",3.2.0
"ssp119",1774,"CO2_concentration",278.490999857585,"ppmv CO2",3.2.0
"ssp119",1775,"CO2_concentration",278.586003621419,"ppmv CO2",3.2.0
"ssp119",1776,"CO2_concentration",278.682998657227,"ppmv CO2",3.2.0
"ssp119",1777,"CO2_concentration",278.773996988932,"ppmv CO2",3.2.0
"ssp119",1778,"CO2_concentration",278.865999857585,"ppmv CO2",3.2.0
"ssp119",1779,"CO2_concentration",278.959002176921,"ppmv CO2",3.2.0
"ssp119",1780,"CO2_concentration",279.054003397624,"ppmv CO2",3.2.0
"ssp119",1781,"CO2_concentration",279.144999186198,"ppmv CO2",3.2.0
"ssp119",1782,"CO2_concentration",279.243001302083,"ppmv CO2",3.2.0
"ssp119",1783,"CO2_concentration",279.339998881022,"ppmv CO2",3.2.0
"ssp119",1784,"CO2_concentration",279.434000651042,"ppmv CO2",3.2.0
"ssp119",1785,"CO2_concentration",279.532002766927,"ppmv CO2",3.2.0
"ssp119",1786,"CO2_concentration",279.629000345866,"ppmv CO2",3.2.0
"ssp119",1787,"CO2_concentration",279.729001363118,"ppmv CO2",3.2.0
"ssp119",1788,"CO2_concentration",279.830998738607,"ppmv CO2",3.2.0
"ssp119",1789,"CO2_concentration",279.932998657227,"ppmv CO2",3.2.0
"ssp119",1790,"CO2_concentration",280.037002563477,"ppmv CO2",3.2.0
"ssp119",1791,"CO2_concentration",280.140998840332,"ppmv CO2",3.2.0
"ssp119",1792,"CO2_concentration",280.240997314453,"ppmv CO2",3.2.0
"ssp119",1793,"CO2_concentration",280.33199818929,"ppmv CO2",3.2.0
"ssp119",1794,"CO2_concentration",280.415000915527,"ppmv CO2",3.2.0
"ssp119",1795,"CO2_concentration",280.491996765137,"ppmv CO2",3.2.0
"ssp119",1796,"CO2_concentration",280.554995218913,"ppmv CO2",3.2.0
"ssp119",1797,"CO2_concentration",280.623001098633,"ppmv CO2",3.2.0
"ssp119",1798,"CO2_concentration",280.682004292806,"ppmv CO2",3.2.0
"ssp119",1799,"CO2_concentration",280.752998352051,"ppmv CO2",3.2.0
"ssp119",1800,"CO2_concentration",280.833997090658,"ppmv CO2",3.2.0
"ssp119",1801,"CO2_concentration",280.918998718262,"ppmv CO2",3.2.0
"ssp119",1802,"CO2_concentration",280.993995666504,"ppmv CO2",3.2.0
"ssp119",1803,"CO2_concentration",281.072995503743,"ppmv CO2",3.2.0
"ssp119",1804,"CO2_concentration",281.156997680664,"ppmv CO2",3.2.0
"ssp119",1805,"CO2_concentration",281.233996073405,"ppmv CO2",3.2.0
"ssp119",1806,"CO2_concentration",281.322001139323,"ppmv CO2",3.2.0
"ssp119",1807,"CO2_concentration",281.409001668294,"ppmv CO2",3.2.0
"ssp119",1808,"CO2_concentration",281.495999654134,"ppmv CO2",3.2.0
"ssp119",1809,"CO2_concentration",281.565996805827,"ppmv CO2",3.2.0
"ssp119",1810,"CO2_concentration",281.648002624512,"ppmv CO2",3.2.0
"ssp119",1811,"CO2_concentration",281.717997233073,"ppmv CO2",3.2.0
"ssp119",1812,"CO2_concentration",281.789998372396,"ppmv CO2",3.2.0
"ssp119",1813,"CO2_concentration",281.858001708984,"ppmv CO2",3.2.0
"ssp119",1814,"CO2_concentration",281.931004842122,"ppmv CO2",3.2.0
"ssp119",1815,"CO2_concentration",281.991996765137,"ppmv CO2",3.2.0
"ssp119",1816,"CO2_concentration",282.059000651042,"ppmv CO2",3.2.0
"ssp119",1817,"CO2_concentration",282.127001444499,"ppmv CO2",3.2.0
"ssp119",1818,"CO2_concentration",282.199999491374,"ppmv CO2",3.2.0
"ssp119",1819,"CO2_concentration",282.27200571696,"ppmv CO2",3.2.0
"ssp119",1820,"CO2_concentration",282.346000671387,"ppmv CO2",3.2.0
"ssp119",1821,"CO2_concentration",282.415003458659,"ppmv CO2",3.2.0
"ssp119",1822,"CO2_concentration",282.47699991862,"ppmv CO2",3.2.0
"ssp119",1823,"CO2_concentration",282.540000915527,"ppmv CO2",3.2.0
"ssp119",1824,"CO2_concentration",282.61799621582,"ppmv CO2",3.2.0
"ssp119",1825,"CO2_concentration",282.67599995931,"ppmv CO2",3.2.0
"ssp119",1826,"CO2_concentration",282.692998250326,"ppmv CO2",3.2.0
"ssp119",1827,"CO2_concentration",282.692995707194,"ppmv CO2",3.2.0
"ssp119",1828,"CO2_concentration",282.708002726237,"ppmv CO2",3.2.0
"ssp119",1829,"CO2_concentration",282.760996500651,"ppmv CO2",3.2.0
"ssp119",1830,"CO2_concentration",282.824999491374,"ppmv CO2",3.2.0
"ssp119",1831,"CO2_concentration",282.8909962972,"ppmv CO2",3.2.0
"ssp119",1832,"CO2_concentration",282.921997070312,"ppmv CO2",3.2.0
"ssp119",1833,"CO2_concentration",282.965998331706,"ppmv CO2",3.2.0
"ssp119",1834,"CO2_concentration",283.02799987793,"ppmv CO2",3.2.0
"ssp119",1835,"CO2_concentration",283.085998535156,"ppmv CO2",3.2.0
"ssp119",1836,"CO2_concentration",283.148999532064,"ppmv CO2",3.2.0
"ssp119",1837,"CO2_concentration",283.198000590007,"ppmv CO2",3.2.0
"ssp119",1838,"CO2_concentration",283.253003438314,"ppmv CO2",3.2.0
"ssp119",1839,"CO2_concentration",283.310999552409,"ppmv CO2",3.2.0
"ssp119",1840,"CO2_concentration",283.382001241048,"ppmv CO2",3.2.0
"ssp119",1841,"CO2_concentration",283.466997782389,"ppmv CO2",3.2.0
"ssp119",1842,"CO2_concentration",283.52799987793,"ppmv CO2",3.2.0
"ssp119",1843,"CO2_concentration",283.56600189209,"ppmv CO2",3.2.0
"ssp119",1844,"CO2_concentration",283.608998616536,"ppmv CO2",3.2.0
"ssp119",1845,"CO2_concentration",283.72499593099,"ppmv CO2",3.2.0
"ssp119",1846,"CO2_concentration",283.84700012207,"ppmv CO2",3.2.0
"ssp119",1847,"CO2_concentration",283.935999552409,"ppmv CO2",3.2.0
"ssp119",1848,"CO2_concentration",284.067998250326,"ppmv CO2",3.2.0
"ssp119",1849,"CO2_concentration",284.20699818929,"ppmv CO2",3.2.0
"ssp119",1850,"CO2_concentration",284.316998799642,"ppmv CO2",3.2.0
"ssp119",1851,"CO2_concentration",284.45100402832,"ppmv CO2",3.2.0
"ssp119",1852,"CO2_concentration",284.598002115885,"ppmv CO2",3.2.0
"ssp119",1853,"CO2_concentration",284.730997721354,"ppmv CO2",3.2.0
"ssp119",1854,"CO2_concentration",284.845998128255,"ppmv CO2",3.2.0
"ssp119",1855,"CO2_concentration",284.940999348958,"ppmv CO2",3.2.0
"ssp119",1856,"CO2_concentration",285.048993428548,"ppmv CO2",3.2.0
"ssp119",1857,"CO2_concentration",285.20399983724,"ppmv CO2",3.2.0
