"year","value","variable","source","units","lower","upper"
1850,-0.341109085253333,"gmst","HadCRUT5","relative to 1951-1980",-0.458072349233333,-0.224145789866667
1851,-0.156747485253333,"gmst","HadCRUT5","relative to 1951-1980",-0.280683799233333,-0.0328111768666667
1852,-0.152796755253333,"gmst","HadCRUT5","relative to 1951-1980",-0.278198309233333,-0.0273952098666667
1853,-0.193752135253333,"gmst","HadCRUT5","relative to 1951-1980",-0.298825219233333,-0.0886790238666667
1854,-0.214918515253333,"gmst","HadCRUT5","relative to 1951-1980",-0.301527379233333,-0.128309679866667
1855,-0.220314435253333,"gmst","HadCRUT5","relative to 1951-1980",-0.308134659233333,-0.132494229866667
1856,-0.243751405253333,"gmst","HadCRUT5","relative to 1951-1980",-0.336909099233333,-0.150593689866667
1857,-0.390627735253333,"gmst","HadCRUT5","relative to 1951-1980",-0.485138039233333,-0.296117429866667
1858,-0.312163385253333,"gmst","HadCRUT5","relative to 1951-1980",-0.405701919233333,-0.218624809866667
1859,-0.204662855253333,"gmst","HadCRUT5","relative to 1951-1980",-0.292736719233333,-0.116588989866667
1860,-0.313562865253333,"gmst","HadCRUT5","relative to 1951-1980",-0.407792479233333,-0.219333239866667
1861,-0.352510625253333,"gmst","HadCRUT5","relative to 1951-1980",-0.465816879233333,-0.239204329866667
1862,-0.459767085253333,"gmst","HadCRUT5","relative to 1951-1980",-0.572475829233333,-0.347058289866667
1863,-0.267641745253333,"gmst","HadCRUT5","relative to 1951-1980",-0.402852639233333,-0.132430899866667
1864,-0.388862755253333,"gmst","HadCRUT5","relative to 1951-1980",-0.516908919233333,-0.260816609866667
1865,-0.255879005253333,"gmst","HadCRUT5","relative to 1951-1980",-0.393272779233333,-0.118485269866667
1866,-0.264685185253333,"gmst","HadCRUT5","relative to 1951-1980",-0.390616779233333,-0.138753629866667
1867,-0.280391805253333,"gmst","HadCRUT5","relative to 1951-1980",-0.421839079233333,-0.138944529866667
1868,-0.275224825253333,"gmst","HadCRUT5","relative to 1951-1980",-0.398294579233333,-0.152155089866667
1869,-0.239989635253333,"gmst","HadCRUT5","relative to 1951-1980",-0.345279229233333,-0.134700049866667
1870,-0.251325215253333,"gmst","HadCRUT5","relative to 1951-1980",-0.337515339233333,-0.165135059866667
1871,-0.291960445253333,"gmst","HadCRUT5","relative to 1951-1980",-0.382949039233333,-0.200971839866667
1872,-0.251508265253333,"gmst","HadCRUT5","relative to 1951-1980",-0.331985899233333,-0.171030629866667
1873,-0.264694585253333,"gmst","HadCRUT5","relative to 1951-1980",-0.341317519233333,-0.188071659866667
1874,-0.296648885253333,"gmst","HadCRUT5","relative to 1951-1980",-0.375958479233333,-0.217339289866667
1875,-0.299023625253333,"gmst","HadCRUT5","relative to 1951-1980",-0.382856879233333,-0.215190339866667
1876,-0.347507585253333,"gmst","HadCRUT5","relative to 1951-1980",-0.431687039233333,-0.263328169866667
1877,-0.0245065252533333,"gmst","HadCRUT5","relative to 1951-1980",-0.0986358892333333,0.0496228501333333
1878,0.0652871227466667,"gmst","HadCRUT5","relative to 1951-1980",-2.84592333333333e-05,0.130602710133333
1879,-0.227032005253333,"gmst","HadCRUT5","relative to 1951-1980",-0.302880239233333,-0.151183789866667
1880,-0.239229735253333,"gmst","HadCRUT5","relative to 1951-1980",-0.308966799233333,-0.169492699866667
1881,-0.155643205253333,"gmst","HadCRUT5","relative to 1951-1980",-0.226750859233333,-0.0845355498666667
1882,-0.218927765253333,"gmst","HadCRUT5","relative to 1951-1980",-0.288965979233333,-0.148889549866667
1883,-0.269872085253333,"gmst","HadCRUT5","relative to 1951-1980",-0.329633579233333,-0.210110609866667
1884,-0.415717745253333,"gmst","HadCRUT5","relative to 1951-1980",-0.471484479233333,-0.359951029866667
1885,-0.394521265253333,"gmst","HadCRUT5","relative to 1951-1980",-0.451884079233333,-0.337158449866667
1886,-0.344301305253333,"gmst","HadCRUT5","relative to 1951-1980",-0.391354079233333,-0.297248519866667
1887,-0.422183445253333,"gmst","HadCRUT5","relative to 1951-1980",-0.485375739233333,-0.358991149866667
1888,-0.302776575253333,"gmst","HadCRUT5","relative to 1951-1980",-0.362139649233333,-0.243413489866667
1889,-0.173293245253333,"gmst","HadCRUT5","relative to 1951-1980",-0.241036809233333,-0.105549659866667
1890,-0.430255855253333,"gmst","HadCRUT5","relative to 1951-1980",-0.501225379233333,-0.359286289866667
1891,-0.324712625253333,"gmst","HadCRUT5","relative to 1951-1980",-0.406185779233333,-0.243239469866667
1892,-0.430956185253333,"gmst","HadCRUT5","relative to 1951-1980",-0.513144409233333,-0.348767989866667
1893,-0.418016905253333,"gmst","HadCRUT5","relative to 1951-1980",-0.500347279233333,-0.335686509866667
1894,-0.407161615253333,"gmst","HadCRUT5","relative to 1951-1980",-0.494383979233333,-0.319939229866667
1895,-0.372149285253333,"gmst","HadCRUT5","relative to 1951-1980",-0.450836519233333,-0.293462089866667
1896,-0.207404965253333,"gmst","HadCRUT5","relative to 1951-1980",-0.286217339233333,-0.128592559866667
1897,-0.183197855253333,"gmst","HadCRUT5","relative to 1951-1980",-0.267340129233333,-0.0990555498666667
1898,-0.409189815253333,"gmst","HadCRUT5","relative to 1951-1980",-0.486465079233333,-0.331914519866667
1899,-0.278831325253333,"gmst","HadCRUT5","relative to 1951-1980",-0.355212819233333,-0.202449849866667
1900,-0.157891585253333,"gmst","HadCRUT5","relative to 1951-1980",-0.235285779233333,-0.0804973898666667
1901,-0.216807925253333,"gmst","HadCRUT5","relative to 1951-1980",-0.297082049233333,-0.136533819866667
1902,-0.362354215253333,"gmst","HadCRUT5","relative to 1951-1980",-0.442124049233333,-0.282584389866667
1903,-0.456684785253333,"gmst","HadCRUT5","relative to 1951-1980",-0.526869519233333,-0.386500039866667
1904,-0.520908735253333,"gmst","HadCRUT5","relative to 1951-1980",-0.593772029233333,-0.448045469866667
1905,-0.331190905253333,"gmst","HadCRUT5","relative to 1951-1980",-0.399245419233333,-0.263136389866667
1906,-0.242506465253333,"gmst","HadCRUT5","relative to 1951-1980",-0.313741479233333,-0.171271469866667
1907,-0.427473985253333,"gmst","HadCRUT5","relative to 1951-1980",-0.488776129233333,-0.366171819866667
1908,-0.437217385253333,"gmst","HadCRUT5","relative to 1951-1980",-0.498930779233333,-0.375503969866667
1909,-0.459084835253333,"gmst","HadCRUT5","relative to 1951-1980",-0.512671629233333,-0.405498069866667
1910,-0.454307185253333,"gmst","HadCRUT5","relative to 1951-1980",-0.514287279233333,-0.394327089866667
