"scenario","year","variable","units","value","source"
"ssp119","2021-2040","global_tas","degC rel. 1995-2014",0.73216368436211,"v349"
"ssp119","2041-2060","global_tas","degC rel. 1995-2014",0.910347541272613,"v349"
"ssp119","2081-2100","global_tas","degC rel. 1995-2014",0.737702870886017,"v349"
"ssp126","2021-2040","global_tas","degC rel. 1995-2014",0.744557864037313,"v349"
"ssp126","2041-2060","global_tas","degC rel. 1995-2014",1.088695788691,"v349"
"ssp126","2081-2100","global_tas","degC rel. 1995-2014",1.08401497281481,"v349"
"ssp245","2021-2040","global_tas","degC rel. 1995-2014",0.751377512564287,"v349"
"ssp245","2041-2060","global_tas","degC rel. 1995-2014",1.3045431786911,"v349"
"ssp245","2081-2100","global_tas","degC rel. 1995-2014",2.01887364463305,"v349"
"ssp370","2021-2040","global_tas","degC rel. 1995-2014",0.759110417383976,"v349"
"ssp370","2041-2060","global_tas","degC rel. 1995-2014",1.43883229438008,"v349"
"ssp370","2081-2100","global_tas","degC rel. 1995-2014",2.99162401052094,"v349"
"ssp434","2021-2040","global_tas","degC rel. 1995-2014",0.728893354421548,"v349"
"ssp434","2041-2060","global_tas","degC rel. 1995-2014",1.13726090672748,"v349"
"ssp434","2081-2100","global_tas","degC rel. 1995-2014",1.45806735340657,"v349"
"ssp460","2021-2040","global_tas","degC rel. 1995-2014",0.758154467789808,"v349"
"ssp460","2041-2060","global_tas","degC rel. 1995-2014",1.35910358287409,"v349"
"ssp460","2081-2100","global_tas","degC rel. 1995-2014",2.37828241815974,"v349"
"ssp534-over","2021-2040","global_tas","degC rel. 1995-2014",0.873720182378126,"v349"
"ssp534-over","2041-2060","global_tas","degC rel. 1995-2014",1.63732104729735,"v349"
"ssp534-over","2081-2100","global_tas","degC rel. 1995-2014",1.70420757225598,"v349"
"ssp585","2021-2040","global_tas","degC rel. 1995-2014",0.873712571444616,"v349"
"ssp585","2041-2060","global_tas","degC rel. 1995-2014",1.74755226064935,"v349"
"ssp585","2081-2100","global_tas","degC rel. 1995-2014",3.82837918005572,"v349"
"historical","2019","non_ghg_ERF","W/m2",-0.603183158784432,"v349"
"historical","2019","wmghg_ERF","W/m2",3.4261900066067,"v349"
"historical","2019","RF_CH4","W/m2",0.558614449743712,"v349"
"historical","2005-15","tot_aer_ERF","W/m2",-1.23968398254068,"v349"
"historical","1971-2018","OHC","ZJ",512.05512628517,"v349"
"historical","1995-2014","hist. warming","degC",0.785101235559439,"v349"
NA,NA,"TCR",NA,1.7675015740774,"v349"
NA,NA,"TCRE",NA,1.53244060808633,"v349"
