"scenario","year","variable","value","units"
"exp1",1745,"CO2_concentration",277.15,"ppmv CO2"
"exp1",1746,"CO2_concentration",277.186921051235,"ppmv CO2"
"exp1",1747,"CO2_concentration",277.219995269161,"ppmv CO2"
"exp1",1748,"CO2_concentration",277.250728506145,"ppmv CO2"
"exp1",1749,"CO2_concentration",277.279528418388,"ppmv CO2"
"exp1",1750,"CO2_concentration",277.306670690573,"ppmv CO2"
"exp1",1751,"CO2_concentration",277.332329694066,"ppmv CO2"
"exp1",1752,"CO2_concentration",277.360985067542,"ppmv CO2"
"exp1",1753,"CO2_concentration",277.396484709138,"ppmv CO2"
"exp1",1754,"CO2_concentration",277.432551846353,"ppmv CO2"
"exp1",1755,"CO2_concentration",277.466896829629,"ppmv CO2"
"exp1",1756,"CO2_concentration",277.49860638355,"ppmv CO2"
"exp1",1757,"CO2_concentration",277.523501756205,"ppmv CO2"
"exp1",1758,"CO2_concentration",277.540480978381,"ppmv CO2"
"exp1",1759,"CO2_concentration",277.561459243575,"ppmv CO2"
"exp1",1760,"CO2_concentration",277.587093062976,"ppmv CO2"
"exp1",1761,"CO2_concentration",277.614732970607,"ppmv CO2"
"exp1",1762,"CO2_concentration",277.642719803636,"ppmv CO2"
"exp1",1763,"CO2_concentration",277.653064682199,"ppmv CO2"
"exp1",1764,"CO2_concentration",277.633292602805,"ppmv CO2"
"exp1",1765,"CO2_concentration",277.626847132582,"ppmv CO2"
"exp1",1766,"CO2_concentration",277.6445537767,"ppmv CO2"
"exp1",1767,"CO2_concentration",277.669584697632,"ppmv CO2"
"exp1",1768,"CO2_concentration",277.685581422931,"ppmv CO2"
"exp1",1769,"CO2_concentration",277.702231440154,"ppmv CO2"
"exp1",1770,"CO2_concentration",277.730108584734,"ppmv CO2"
"exp1",1771,"CO2_concentration",277.762464501281,"ppmv CO2"
"exp1",1772,"CO2_concentration",277.792874869305,"ppmv CO2"
"exp1",1773,"CO2_concentration",277.825003855578,"ppmv CO2"
"exp1",1774,"CO2_concentration",277.859183795786,"ppmv CO2"
"exp1",1775,"CO2_concentration",277.893276484911,"ppmv CO2"
"exp1",1776,"CO2_concentration",277.92608664125,"ppmv CO2"
"exp1",1777,"CO2_concentration",277.958079685369,"ppmv CO2"
"exp1",1778,"CO2_concentration",277.989002369015,"ppmv CO2"
"exp1",1779,"CO2_concentration",278.018780725589,"ppmv CO2"
"exp1",1780,"CO2_concentration",278.047722425,"ppmv CO2"
"exp1",1781,"CO2_concentration",278.076135561066,"ppmv CO2"
"exp1",1782,"CO2_concentration",278.104287905155,"ppmv CO2"
"exp1",1783,"CO2_concentration",278.132454827229,"ppmv CO2"
"exp1",1784,"CO2_concentration",278.126321877417,"ppmv CO2"
"exp1",1785,"CO2_concentration",278.019464793637,"ppmv CO2"
"exp1",1786,"CO2_concentration",277.87902287336,"ppmv CO2"
"exp1",1787,"CO2_concentration",277.827124383335,"ppmv CO2"
"exp1",1788,"CO2_concentration",277.850911336843,"ppmv CO2"
"exp1",1789,"CO2_concentration",277.919850157063,"ppmv CO2"
"exp1",1790,"CO2_concentration",278.009567523358,"ppmv CO2"
"exp1",1791,"CO2_concentration",278.105203703315,"ppmv CO2"
"exp1",1792,"CO2_concentration",278.199797605761,"ppmv CO2"
"exp1",1793,"CO2_concentration",278.290747326411,"ppmv CO2"
"exp1",1794,"CO2_concentration",278.377516920393,"ppmv CO2"
"exp1",1795,"CO2_concentration",278.460333110976,"ppmv CO2"
"exp1",1796,"CO2_concentration",278.540050322506,"ppmv CO2"
"exp1",1797,"CO2_concentration",278.615980530937,"ppmv CO2"
