"scenario","year","variable","value","units","source"
"ssp119",1750,"gmst",0,"degC","exp1"
"ssp119",1751,"gmst",0.0173282888195734,"degC","exp1"
"ssp119",1752,"gmst",0.0330381790446774,"degC","exp1"
"ssp119",1753,"gmst",0.0442559486208467,"degC","exp1"
"ssp119",1754,"gmst",0.0520735435400286,"degC","exp1"
"ssp119",1755,"gmst",0.0564977560305201,"degC","exp1"
"ssp119",1756,"gmst",0.0398282615624885,"degC","exp1"
"ssp119",1757,"gmst",0.036183319952461,"degC","exp1"
"ssp119",1758,"gmst",0.0431710647039688,"degC","exp1"
"ssp119",1759,"gmst",0.0517145079709881,"degC","exp1"
"ssp119",1760,"gmst",0.0585931205423654,"degC","exp1"
"ssp119",1761,"gmst",0.0645031819474232,"degC","exp1"
"ssp119",1762,"gmst",-0.0123579629606595,"degC","exp1"
"ssp119",1763,"gmst",-0.0550528971385154,"degC","exp1"
"ssp119",1764,"gmst",-0.0440238587290168,"degC","exp1"
"ssp119",1765,"gmst",-0.0193590750930993,"degC","exp1"
"ssp119",1766,"gmst",-0.0263955935472104,"degC","exp1"
"ssp119",1767,"gmst",-0.0407644612251272,"degC","exp1"
"ssp119",1768,"gmst",-0.0294655787122941,"degC","exp1"
"ssp119",1769,"gmst",-0.00820681714910331,"degC","exp1"
"ssp119",1770,"gmst",-0.0004296998018462,"degC","exp1"
"ssp119",1771,"gmst",0.0093429813630916,"degC","exp1"
"ssp119",1772,"gmst",0.0237407746306837,"degC","exp1"
"ssp119",1773,"gmst",0.0373345141497262,"degC","exp1"
"ssp119",1774,"gmst",0.0473556837115911,"degC","exp1"
"ssp119",1775,"gmst",0.055958668565107,"degC","exp1"
"ssp119",1776,"gmst",0.0633088018936188,"degC","exp1"
"ssp119",1777,"gmst",0.0690058209596846,"degC","exp1"
"ssp119",1778,"gmst",0.073320215082004,"degC","exp1"
"ssp119",1779,"gmst",0.0773347260452646,"degC","exp1"
"ssp119",1780,"gmst",0.080099146246489,"degC","exp1"
"ssp119",1781,"gmst",0.0829862147704834,"degC","exp1"
"ssp119",1782,"gmst",0.0856808895367887,"degC","exp1"
"ssp119",1783,"gmst",-0.0739240043897936,"degC","exp1"
"ssp119",1784,"gmst",-0.383864054260113,"degC","exp1"
"ssp119",1785,"gmst",-0.43959210330232,"degC","exp1"
"ssp119",1786,"gmst",-0.376016150853254,"degC","exp1"
"ssp119",1787,"gmst",-0.291109374487061,"degC","exp1"
"ssp119",1788,"gmst",-0.213818197336289,"degC","exp1"
"ssp119",1789,"gmst",-0.151492304278351,"degC","exp1"
"ssp119",1790,"gmst",-0.103883305945993,"degC","exp1"
"ssp119",1791,"gmst",-0.0669520917198057,"degC","exp1"
"ssp119",1792,"gmst",-0.0380914748920625,"degC","exp1"
"ssp119",1793,"gmst",-0.0156126307084417,"degC","exp1"
"ssp119",1794,"gmst",0.00106037201554773,"degC","exp1"
"ssp119",1795,"gmst",0.0151343231532336,"degC","exp1"
"ssp119",1796,"gmst",0.0154716697238459,"degC","exp1"
"ssp119",1797,"gmst",0.00599759302113521,"degC","exp1"
"ssp119",1798,"gmst",0.00775539420743011,"degC","exp1"
"ssp119",1799,"gmst",0.0188950443794358,"degC","exp1"
"ssp119",1800,"gmst",0.0310059898266687,"degC","exp1"
"ssp119",1801,"gmst",0.0421092105964029,"degC","exp1"
"ssp119",1802,"gmst",0.0512486791994184,"degC","exp1"
"ssp119",1803,"gmst",0.0593122802991935,"degC","exp1"
