"scenario","year","variable","value","units","source"
"ssp119",1750,"gmst",0,"degC","v32"
"ssp119",1751,"gmst",0.000641184895371927,"degC","v32"
"ssp119",1752,"gmst",0.00160802911647409,"degC","v32"
"ssp119",1753,"gmst",0.0022440031260269,"degC","v32"
"ssp119",1754,"gmst",0.00226648702933991,"degC","v32"
"ssp119",1755,"gmst",0.000952513499569297,"degC","v32"
"ssp119",1756,"gmst",-0.0176166746062015,"degC","v32"
"ssp119",1757,"gmst",-0.0218490023749525,"degC","v32"
"ssp119",1758,"gmst",-0.0178121266328624,"degC","v32"
"ssp119",1759,"gmst",-0.0129267402653575,"degC","v32"
"ssp119",1760,"gmst",-0.00930860682227991,"degC","v32"
"ssp119",1761,"gmst",-0.00621215569456949,"degC","v32"
"ssp119",1762,"gmst",-0.0754968535083119,"degC","v32"
"ssp119",1763,"gmst",-0.105948567638723,"degC","v32"
"ssp119",1764,"gmst",-0.0936188756610922,"degC","v32"
"ssp119",1765,"gmst",-0.0743235337000976,"degC","v32"
"ssp119",1766,"gmst",-0.0840740958129601,"degC","v32"
"ssp119",1767,"gmst",-0.097093104652108,"degC","v32"
"ssp119",1768,"gmst",-0.0871197599580799,"degC","v32"
"ssp119",1769,"gmst",-0.0709944682095558,"degC","v32"
"ssp119",1770,"gmst",-0.0674494470255582,"degC","v32"
"ssp119",1771,"gmst",-0.0607234398015413,"degC","v32"
"ssp119",1772,"gmst",-0.0503027979104663,"degC","v32"
"ssp119",1773,"gmst",-0.0409017186059686,"degC","v32"
"ssp119",1774,"gmst",-0.03435987703535,"degC","v32"
"ssp119",1775,"gmst",-0.0285966023677659,"degC","v32"
"ssp119",1776,"gmst",-0.0237259898422243,"degC","v32"
"ssp119",1777,"gmst",-0.0200706638803468,"degC","v32"
"ssp119",1778,"gmst",-0.0173105879544345,"degC","v32"
"ssp119",1779,"gmst",-0.0145762185482206,"degC","v32"
"ssp119",1780,"gmst",-0.0128297630913433,"degC","v32"
"ssp119",1781,"gmst",-0.0107993354326301,"degC","v32"
"ssp119",1782,"gmst",-0.00892973506611763,"degC","v32"
"ssp119",1783,"gmst",-0.149342382616622,"degC","v32"
"ssp119",1784,"gmst",-0.404385455662483,"degC","v32"
"ssp119",1785,"gmst",-0.422047426485662,"degC","v32"
"ssp119",1786,"gmst",-0.362941313965465,"degC","v32"
"ssp119",1787,"gmst",-0.295386265527226,"degC","v32"
"ssp119",1788,"gmst",-0.237628590950088,"degC","v32"
"ssp119",1789,"gmst",-0.192912012884749,"degC","v32"
"ssp119",1790,"gmst",-0.159757962487381,"degC","v32"
"ssp119",1791,"gmst",-0.134331677566836,"degC","v32"
"ssp119",1792,"gmst",-0.114611733353645,"degC","v32"
"ssp119",1793,"gmst",-0.0993007358646665,"degC","v32"
"ssp119",1794,"gmst",-0.088076141586788,"degC","v32"
"ssp119",1795,"gmst",-0.0782466162453321,"degC","v32"
"ssp119",1796,"gmst",-0.0799939093711204,"degC","v32"
"ssp119",1797,"gmst",-0.0887022162170169,"degC","v32"
"ssp119",1798,"gmst",-0.0864978686449797,"degC","v32"
"ssp119",1799,"gmst",-0.0771968499830468,"degC","v32"
"ssp119",1800,"gmst",-0.067845692503733,"degC","v32"
"ssp119",1801,"gmst",-0.0594434513983001,"degC","v32"
"ssp119",1802,"gmst",-0.0526878808884478,"degC","v32"
"ssp119",1803,"gmst",-0.0466782363243318,"degC","v32"
"ssp119",1804,"gmst",-0.0411996129435253,"degC","v32"
"ssp119",1805,"gmst",-0.0372710078732824,"degC","v32"
"ssp119",1806,"gmst",-0.0334467785402715,"degC","v32"
"ssp119",1807,"gmst",-0.0302332137871221,"degC","v32"
"ssp119",1808,"gmst",-0.0280855082182963,"degC","v32"
"ssp119",1809,"gmst",-0.307349228144863,"degC","v32"
"ssp119",1810,"gmst",-0.435917831657181,"degC","v32"
"ssp119",1811,"gmst",-0.395236228457699,"degC","v32"
"ssp119",1812,"gmst",-0.319329974118561,"degC","v32"
"ssp119",1813,"gmst",-0.254238786218813,"degC","v32"
"ssp119",1814,"gmst",-0.206312866642835,"degC","v32"
"ssp119",1815,"gmst",-0.449589272187062,"degC","v32"
"ssp119",1816,"gmst",-0.714015340573957,"degC","v32"
"ssp119",1817,"gmst",-0.682072734527978,"degC","v32"
"ssp119",1818,"gmst",-0.56552826430131,"degC","v32"
