"scenario","year","variable","value","units"
"V3.5.0",1745,"CO2_concentration",277.15,"ppmv CO2"
"V3.5.0",1746,"CO2_concentration",277.186921051235,"ppmv CO2"
"V3.5.0",1747,"CO2_concentration",277.219995269161,"ppmv CO2"
"V3.5.0",1748,"CO2_concentration",277.250728506145,"ppmv CO2"
"V3.5.0",1749,"CO2_concentration",277.279528418388,"ppmv CO2"
"V3.5.0",1750,"CO2_concentration",277.306670690573,"ppmv CO2"
"V3.5.0",1751,"CO2_concentration",277.332329694066,"ppmv CO2"
"V3.5.0",1752,"CO2_concentration",277.360985067542,"ppmv CO2"
"V3.5.0",1753,"CO2_concentration",277.396484709138,"ppmv CO2"
"V3.5.0",1754,"CO2_concentration",277.432551846118,"ppmv CO2"
"V3.5.0",1755,"CO2_concentration",277.466896827364,"ppmv CO2"
"V3.5.0",1756,"CO2_concentration",277.498606373614,"ppmv CO2"
"V3.5.0",1757,"CO2_concentration",277.523501728237,"ppmv CO2"
"V3.5.0",1758,"CO2_concentration",277.540480919293,"ppmv CO2"
"V3.5.0",1759,"CO2_concentration",277.561459145979,"ppmv CO2"
"V3.5.0",1760,"CO2_concentration",277.587092931603,"ppmv CO2"
"V3.5.0",1761,"CO2_concentration",277.614732811074,"ppmv CO2"
"V3.5.0",1762,"CO2_concentration",277.642719615852,"ppmv CO2"
"V3.5.0",1763,"CO2_concentration",277.653064457526,"ppmv CO2"
"V3.5.0",1764,"CO2_concentration",277.633292325174,"ppmv CO2"
"V3.5.0",1765,"CO2_concentration",277.626846790051,"ppmv CO2"
"V3.5.0",1766,"CO2_concentration",277.644553378803,"ppmv CO2"
"V3.5.0",1767,"CO2_concentration",277.669584258687,"ppmv CO2"
"V3.5.0",1768,"CO2_concentration",277.685580956425,"ppmv CO2"
"V3.5.0",1769,"CO2_concentration",277.702230957034,"ppmv CO2"
"V3.5.0",1770,"CO2_concentration",277.730108093318,"ppmv CO2"
"V3.5.0",1771,"CO2_concentration",277.762464007658,"ppmv CO2"
"V3.5.0",1772,"CO2_concentration",277.792874377792,"ppmv CO2"
"V3.5.0",1773,"CO2_concentration",277.82500336915,"ppmv CO2"
"V3.5.0",1774,"CO2_concentration",277.859183316331,"ppmv CO2"
"V3.5.0",1775,"CO2_concentration",277.893276012926,"ppmv CO2"
"V3.5.0",1776,"CO2_concentration",277.926086174092,"ppmv CO2"
"V3.5.0",1777,"CO2_concentration",277.958079214918,"ppmv CO2"
"V3.5.0",1778,"CO2_concentration",277.989001880494,"ppmv CO2"
"V3.5.0",1779,"CO2_concentration",278.018780195836,"ppmv CO2"
"V3.5.0",1780,"CO2_concentration",278.047721823173,"ppmv CO2"
"V3.5.0",1781,"CO2_concentration",278.076134851559,"ppmv CO2"
