"scenario","year","variable","value","units","source"
"ssp119",1750,"gmst",0,"degC","V3.5.0"
"ssp119",1751,"gmst",0.0173282888195734,"degC","V3.5.0"
"ssp119",1752,"gmst",0.0330381790446774,"degC","V3.5.0"
"ssp119",1753,"gmst",0.0442559475183121,"degC","V3.5.0"
"ssp119",1754,"gmst",0.0520735352091943,"degC","V3.5.0"
"ssp119",1755,"gmst",0.0564977278450131,"degC","V3.5.0"
"ssp119",1756,"gmst",0.0398281969157568,"degC","V3.5.0"
"ssp119",1757,"gmst",0.0361832050231392,"degC","V3.5.0"
"ssp119",1758,"gmst",0.0431709149268079,"degC","V3.5.0"
"ssp119",1759,"gmst",0.0517143364726946,"degC","V3.5.0"
"ssp119",1760,"gmst",0.0585929287206401,"degC","V3.5.0"
"ssp119",1761,"gmst",0.0645029580129271,"degC","V3.5.0"
"ssp119",1762,"gmst",-0.0123582395349278,"degC","V3.5.0"
"ssp119",1763,"gmst",-0.0550532548188511,"degC","V3.5.0"
"ssp119",1764,"gmst",-0.0440242711611907,"degC","V3.5.0"
"ssp119",1765,"gmst",-0.0193595170383522,"degC","V3.5.0"
"ssp119",1766,"gmst",-0.0263960487679597,"degC","V3.5.0"
"ssp119",1767,"gmst",-0.0407649189137771,"degC","V3.5.0"
"ssp119",1768,"gmst",-0.0294660316101658,"degC","V3.5.0"
"ssp119",1769,"gmst",-0.0082072603379443,"degC","V3.5.0"
"ssp119",1770,"gmst",-0.00043012998388885,"degC","V3.5.0"
"ssp119",1771,"gmst",0.00934256633772425,"degC","V3.5.0"
"ssp119",1772,"gmst",0.02374037612056,"degC","V3.5.0"
"ssp119",1773,"gmst",0.0373341327949009,"degC","V3.5.0"
"ssp119",1774,"gmst",0.047355317313762,"degC","V3.5.0"
"ssp119",1775,"gmst",0.0559583073664061,"degC","V3.5.0"
"ssp119",1776,"gmst",0.0633084295401309,"degC","V3.5.0"
"ssp119",1777,"gmst",0.0690054113747681,"degC","V3.5.0"
"ssp119",1778,"gmst",0.073319733162849,"degC","V3.5.0"
"ssp119",1779,"gmst",0.0773341333903969,"degC","V3.5.0"
"ssp119",1780,"gmst",0.080098405296663,"degC","V3.5.0"
"ssp119",1781,"gmst",0.0829852845664494,"degC","V3.5.0"
"ssp119",1782,"gmst",0.0856797356272844,"degC","V3.5.0"
"ssp119",1783,"gmst",-0.0739254193361941,"degC","V3.5.0"
"ssp119",1784,"gmst",-0.383865768644231,"degC","V3.5.0"
"ssp119",1785,"gmst",-0.439594009515319,"degC","V3.5.0"
"ssp119",1786,"gmst",-0.376018155383867,"degC","V3.5.0"
