"scenario","year","variable","value","units","version"
"1pctCO2",1745,"gmst",0,"degC","3.5.0"
"1pctCO2",1746,"gmst",0,"degC","3.5.0"
"1pctCO2",1747,"gmst",0,"degC","3.5.0"
"1pctCO2",1748,"gmst",0,"degC","3.5.0"
"1pctCO2",1749,"gmst",0,"degC","3.5.0"
"1pctCO2",1750,"gmst",0,"degC","3.5.0"
"1pctCO2",1751,"gmst",-7.88619031332594e-08,"degC","3.5.0"
"1pctCO2",1752,"gmst",-1.65223856953448e-07,"degC","3.5.0"
"1pctCO2",1753,"gmst",-2.29940705124843e-07,"degC","3.5.0"
"1pctCO2",1754,"gmst",-2.72199447469573e-07,"degC","3.5.0"
"1pctCO2",1755,"gmst",-2.96706358337974e-07,"degC","3.5.0"
"1pctCO2",1756,"gmst",-3.08072645204413e-07,"degC","3.5.0"
"1pctCO2",1757,"gmst",-3.09819772446526e-07,"degC","3.5.0"
"1pctCO2",1758,"gmst",-3.04478861016039e-07,"degC","3.5.0"
"1pctCO2",1759,"gmst",-2.93855877005418e-07,"degC","3.5.0"
"1pctCO2",1760,"gmst",-2.79254496445349e-07,"degC","3.5.0"
"1pctCO2",1761,"gmst",-2.6163287266833e-07,"degC","3.5.0"
"1pctCO2",1762,"gmst",-2.41708738806758e-07,"degC","3.5.0"
"1pctCO2",1763,"gmst",-2.20029477539906e-07,"degC","3.5.0"
"1pctCO2",1764,"gmst",-1.97019356530485e-07,"degC","3.5.0"
"1pctCO2",1765,"gmst",-1.73011931068379e-07,"degC","3.5.0"
"1pctCO2",1766,"gmst",-1.4827270309992e-07,"degC","3.5.0"
"1pctCO2",1767,"gmst",-1.23015270397727e-07,"degC","3.5.0"
"1pctCO2",1768,"gmst",-9.74130437492948e-08,"degC","3.5.0"
"1pctCO2",1769,"gmst",-7.16078914438995e-08,"degC","3.5.0"
"1pctCO2",1770,"gmst",-4.57166156834044e-08,"degC","3.5.0"
"1pctCO2",1771,"gmst",-1.98358740043351e-08,"degC","3.5.0"
"1pctCO2",1772,"gmst",5.954031072619e-09,"degC","3.5.0"
"1pctCO2",1773,"gmst",3.15861986224226e-08,"degC","3.5.0"
"1pctCO2",1774,"gmst",5.70048010228991e-08,"degC","3.5.0"
"1pctCO2",1775,"gmst",8.21632291504901e-08,"degC","3.5.0"
"1pctCO2",1776,"gmst",1.07022600466243e-07,"degC","3.5.0"
"1pctCO2",1777,"gmst",1.31550547897983e-07,"degC","3.5.0"
"1pctCO2",1778,"gmst",1.55720228323576e-07,"degC","3.5.0"
"1pctCO2",1779,"gmst",1.7950950473065e-07,"degC","3.5.0"
"1pctCO2",1780,"gmst",2.02900266407503e-07,"degC","3.5.0"
"1pctCO2",1781,"gmst",2.25877860237211e-07,"degC","3.5.0"
"1pctCO2",1782,"gmst",2.48430611969703e-07,"degC","3.5.0"
"1pctCO2",1783,"gmst",2.70549420644247e-07,"degC","3.5.0"
"1pctCO2",1784,"gmst",2.92227413767694e-07,"degC","3.5.0"
"1pctCO2",1785,"gmst",3.13459651971164e-07,"degC","3.5.0"
"1pctCO2",1786,"gmst",3.34242875383518e-07,"degC","3.5.0"
"1pctCO2",1787,"gmst",3.5457528473688e-07,"degC","3.5.0"
"1pctCO2",1788,"gmst",3.74456351802045e-07,"degC","3.5.0"
"1pctCO2",1789,"gmst",3.93886654580238e-07,"degC","3.5.0"
"1pctCO2",1790,"gmst",4.12867733630162e-07,"degC","3.5.0"
"1pctCO2",1791,"gmst",4.3140196609125e-07,"degC","3.5.0"
"1pctCO2",1792,"gmst",4.49492456019702e-07,"degC","3.5.0"
"1pctCO2",1793,"gmst",4.67142937061408e-07,"degC","3.5.0"
"1pctCO2",1794,"gmst",4.84357687200953e-07,"degC","3.5.0"
