; 1pctCO2,
; hectordata 0.0.0.9000,
; commit fc16ecc44b072f5,
; date Tue Feb 13 14:51:37 2024,
Date,CO2_constrain
1745,276.9859975
1746,276.9859975
1747,276.9859975
1748,276.9859975
1749,276.9859975
1750,276.9859975
1751,276.9859975
1752,276.9859975
1753,276.9859975
1754,276.9859975
1755,276.9859975
1756,276.9859975
1757,276.9859975
1758,276.9859975
1759,276.9859975
1760,276.9859975
1761,276.9859975
1762,276.9859975
1763,276.9859975
1764,276.9859975
1765,276.9859975
1766,276.9859975
1767,276.9859975
1768,276.9859975
1769,276.9859975
1770,276.9859975
1771,276.9859975
1772,276.9859975
1773,276.9859975
1774,276.9859975
1775,276.9859975
1776,276.9859975
1777,276.9859975
1778,276.9859975
1779,276.9859975
1780,276.9859975
1781,276.9859975
1782,276.9859975
1783,276.9859975
1784,276.9859975
1785,276.9859975
1786,276.9859975
1787,276.9859975
1788,276.9859975
1789,276.9859975
1790,276.9859975
1791,276.9859975
1792,276.9859975
1793,276.9859975
1794,276.9859975
1795,276.9859975
1796,276.9859975
1797,276.9859975
1798,276.9859975
1799,276.9859975
1800,276.9859975
1801,279.7558575
1802,282.553416
1803,285.3789502
1804,288.2327397
1805,291.1150671
1806,294.0262178
1807,296.96648
1808,299.9361448
1809,302.9355062
1810,305.9648613
1811,309.0245099
1812,312.114755
1813,315.2359025
1814,318.3882616
1815,321.5721442
1816,324.7878656
1817,328.0357443
1818,331.3161017
1819,334.6292627
1820,337.9755554
1821,341.3553109
1822,344.768864
1823,348.2165527
1824,351.6987182
1825,355.2157054
1826,358.7678624
1827,362.355541
1828,365.9790965
1829,369.6388874
1830,373.3352763
1831,377.0686291
1832,380.8393153
1833,384.6477085
1834,388.4941856
1835,392.3791274
1836,396.3029187
1837,400.2659479
1838,404.2686074
1839,408.3112935
1840,412.3944064
1841,416.5183505
1842,420.683534
1843,424.8903693
1844,429.139273
1845,433.4306657
1846,437.7649724
1847,442.1426221
1848,446.5640483
1849,451.0296888
1850,455.5399857
1851,460.0953856
1852,464.6963394
1853,469.3433028
1854,474.0367358
1855,478.7771032
1856,483.5648742
1857,488.400523
1858,493.2845282
1859,498.2173735
1860,503.1995472
1861,508.2315427
1862,513.3138581
1863,518.4469967
1864,523.6314667
1865,528.8677813
1866,534.1564591
1867,539.4980237
1868,544.893004
1869,550.341934
1870,555.8453533
1871,561.4038069
1872,567.0178449
1873,572.6880234
1874,578.4149036
1875,584.1990527
1876,590.0410432
1877,595.9414536
1878,601.9008682
1879,607.9198768
1880,613.9990756
1881,620.1390664
1882,626.340457
1883,632.6038616
1884,638.9299002
1885,645.3191992
1886,651.7723912
1887,658.2901151
1888,664.8730163
1889,671.5217464
1890,678.2369639
1891,685.0193335
1892,691.8695269
1893,698.7882221
1894,705.7761044
1895,712.8338654
1896,719.9622041
1897,727.1618261
1898,734.4334444
1899,741.7777788
1900,749.1955566
1901,756.6875122
1902,764.2543873
1903,771.8969312
1904,779.6159005
1905,787.4120595
1906,795.2861801
1907,803.2390419
1908,811.2714323
1909,819.3841466
1910,827.5779881
1911,835.853768
1912,844.2123056
1913,852.6544287
1914,861.180973
1915,869.7927827
1916,878.4907105
1917,887.2756176
1918,896.1483738
1919,905.1098576
1920,914.1609561
1921,923.3025657
1922,932.5355913
1923,941.8609473
1924,951.2795567
1925,960.7923523
1926,970.4002758
1927,980.1042786
1928,989.9053214
1929,999.8043746
1930,1009.802418
1931,1019.900443
1932,1030.099447
1933,1040.400441
1934,1050.804446
1935,1061.31249
1936,1071.925615
1937,1082.644871
1938,1093.47132
1939,1104.406033
1940,1115.450094
1941,1126.604595
1942,1137.87064
1943,1149.249347
1944,1160.74184
1945,1172.349259
1946,1184.072751
1947,1195.913479
1948,1207.872614
1949,1219.95134
1950,1232.150853
1951,1244.472362
1952,1256.917085
1953,1269.486256
1954,1282.181119
1955,1295.00293
1956,1307.952959
1957,1321.032489
1958,1334.242814
1959,1347.585242
1960,1361.061094
1961,1374.671705
1962,1388.418422
1963,1402.302606
1964,1416.325633
1965,1430.488889
1966,1444.793778
1967,1459.241716
1968,1473.834133
1969,1488.572474
1970,1503.458199
1971,1518.492781
1972,1533.677709
1973,1549.014486
1974,1564.50463
1975,1580.149677
1976,1595.951174
1977,1611.910685
1978,1628.029792
1979,1644.31009
1980,1660.753191
1981,1677.360723
1982,1694.13433
1983,1711.075673
1984,1728.18643
1985,1745.468294
1986,1762.922977
1987,1780.552207
1988,1798.357729
1989,1816.341307
1990,1834.50472
1991,1852.849767
1992,1871.378264
1993,1890.092047
1994,1908.992968
1995,1928.082897
1996,1947.363726
1997,1966.837363
1998,1986.505737
1999,2006.370794
2000,2026.434502
2001,2046.698847
2002,2067.165836
2003,2087.837494
2004,2108.715869
2005,2129.803028
2006,2151.101058
2007,2172.612069
2008,2194.338189
2009,2216.281571
2010,2238.444387
2011,2260.828831
2012,2283.437119
2013,2306.27149
2014,2329.334205
2015,2352.627547
2016,2376.153823
2017,2399.915361
2018,2423.914515
2019,2448.15366
2020,2472.635196
2021,2497.361548
2022,2522.335164
2023,2547.558516
2024,2573.034101
2025,2598.764442
2026,2624.752086
2027,2650.999607
2028,2677.509603
2029,2704.284699
2030,2731.327546
2031,2758.640822
2032,2786.22723
