"Date","CH4N"
1745,223.284159713333
1746,218.543911379333
1747,223.230799598152
1748,224.022359884598
1749,225.071275837086
1750,224.373477546765
1751,224.758895293994
1752,226.755390564277
1753,225.7345828568
1754,224.78284528675
1755,225.002882229061
1756,225.646718681015
1757,224.39168981334
1758,224.291972184851
1759,222.872595336146
1760,220.982976715057
1761,223.416322636905
1762,224.237879377911
1763,225.246996450421
1764,226.272464089375
1765,225.22721722549
1766,225.60622028969
1767,225.789610253585
1768,223.81388465264
1769,224.358944513083
1770,224.43570720071
1771,225.07530699856
1772,226.976971633683
1773,225.558963555405
1774,223.369880929156
1775,224.468822213602
1776,225.24925786173
1777,224.849223575122
1778,222.732479834278
1779,223.245749281874
1780,223.028693896915
1781,223.871622650707
1782,223.855069342766
1783,223.509967612428
1784,223.892140626007
1785,223.125499692376
1786,223.309321496873
1787,222.329279615242
1788,222.361314233799
1789,222.789277102585
1790,222.741874490874
1791,223.386079949786
1792,223.687733313007
1793,223.093055190303
1794,222.433008365378
1795,222.846479701881
1796,223.358420215395
1797,223.073303583202
1798,223.183861039728
1799,223.120598334138
1800,222.78160010708
1801,223.07641905262
1802,223.24296995984
1803,223.862813018741
1804,224.195650509756
1805,223.9099912718
1806,224.05613228819
1807,224.16668683174
1808,223.54935121143
1809,224.167503093759
1810,224.566928909245
1811,225.384707873619
1812,225.703104415253
1813,225.558268570497
1814,223.656132636354
1815,224.541458343696
1816,224.498832590429
1817,225.384575745004
1818,224.281209905541
1819,223.933355155718
1820,223.132359961407
1821,223.691501117848
1822,224.362999498608
1823,224.526777313988
1824,224.576322344829
1825,224.104363033474
1826,223.907851652144
1827,223.451749671488
1828,222.605851268589
1829,222.74137084343
1830,222.362990589744
1831,222.583522071035
1832,222.478008018945
1833,221.480738032022
1834,221.436550793333
1835,221.393360270813
1836,219.672919814453
1837,218.531171102764
1838,217.308822561132
1839,217.458812030486
1840,218.298476327486
1841,218.464380149407
1842,219.137633475926
1843,221.093906656606
1844,222.899125848748
1845,222.247896376896
1846,221.249270729715
1847,218.240146958435
1848,215.73714563684
1849,215.636931122588
1850,214.801438631631
1851,215.521002483954
1852,217.165319980986
1853,218.031383183713
1854,217.14573656415
1855,218.340411213961
1856,217.900765184575
1857,217.963149873848
1858,218.423814561484
1859,218.757084922094
1860,218.35930516936
1861,218.55890023464
1862,219.589027786745
1863,221.247009267868
1864,221.918739969042
1865,220.594623784944
1866,221.22795661545
1867,221.070592760508
1868,219.148755896263
1869,218.570419138463
1870,216.229861570176
1871,214.469970025756
1872,213.591207674148
1873,211.185705178216
1874,211.846105390924
1875,212.087899872013
1876,210.347188437222
1877,210.005276683791
1878,209.903614210379
1879,209.885762713069
1880,210.457598887899
1881,209.703330044429
1882,209.33585882101
1883,209.830433306094
1884,209.435814034862
1885,209.71892253973
1886,209.323334351783
1887,209.402080536237
1888,208.193101649407
1889,208.903565595164
1890,208.34285774945
1891,209.063303678616
1892,210.737182493088
1893,209.790859771985
1894,207.131897157304
1895,205.988530693856
1896,202.663605953186
1897,201.373551029993
1898,204.32799629235
1899,204.704209909254
1900,204.686879314221
1901,204.910207413981
1902,206.75473479204
1903,207.667536642046
1904,210.305915360146
1905,210.536247997984
1906,211.902456010009
1907,212.80874397682
1908,209.743957681853
1909,211.411144388381
1910,211.193795503294
1911,210.265360937297
1912,209.271091810918
1913,204.521618399656
1914,202.300061275935
1915,203.941298075536
1916,215.365794650655
1917,210.517777529987
1918,214.304474028859
1919,216.781081842668
1920,217.579562764576
1921,217.994667968568
1922,218.615927693991
1923,215.648437964801
1924,212.36403806369
1925,207.969849461026
1926,204.438764978752
1927,205.58772727542
1928,212.553917975859
1929,215.553669291219
1930,214.344510249532
1931,212.808501312323
1932,210.679342580525
1933,211.000156512901
1934,212.005506308088
1935,212.661320179686
1936,210.594154729495
1937,210.63603900687
1938,210.355231356262
1939,214.944652869359
1940,208.171073838787
1941,206.888797531201
1942,209.990806149147
1943,208.361546744189
1944,204.698306094526
1945,201.696332813398
1946,204.52007948005
1947,208.948842989326
1948,207.869027758036
1949,201.632530061303
1950,198.192542709609
1951,202.021627822938
1952,198.929302213059
1953,204.886041348804
1954,207.983745876923
1955,210.593133084461
1956,213.528214105938
1957,212.061529237095
1958,206.523028779528
1959,200.667584673001
1960,190.7448164512
1961,178.706707439415
1962,202.584084826052
1963,208.270586253055
1964,213.466851895791
1965,203.200817919173
1966,197.080913828986
1967,196.437001890844
1968,214.581684892418
1969,216.136250970162
1970,227.632642859396
1971,223.42770233911
1972,213.180580538405
1973,208.489642925287
1974,209.145699892621
1975,217.670456742459
1976,219.940612824077
1977,224.218125359473
1978,229.061636825943
1979,229.641676889021
1980,230.62497046146
1981,234.843428144724
1982,217.164956748782
1983,228.451441471685
1984,224.232982209536
1985,227.68231188491
1986,225.729905025057
1987,223.465943214958
1988,221.301869599992
1989,225.201768241907
1990,219.565506624475
1991,193.094221020443
1992,235.775569841645
1993,212.452514465737
1994,204.199861220623
1995,226.274754547125
1996,215.615009004445
1997,166.981185939011
1998,220.763798933273
1999,227.423212594083
2000,218.552933700002
2001,208.029515640385
2002,197.735388966342
2003,206.58629359628
2004,189.350382470502
2005,178.098626154563
2006,175.642310163241
2007,204.13225406559
2008,200.963396829346
2009,193.156266979345
2010,183.533132799623
2011,188.918313839033
2012,176.696604291381
2013,180.560780537921
2014,177.311019191602
2015,189.155536451544
2016,186.197112845744
2017,186.197112845744
2018,186.197112845744
2019,186.197112845744
2020,186.197112845744
2021,186.197112845744
2022,186.197112845744
2023,186.197112845744
2024,186.197112845744
2025,186.197112845744
2026,186.197112845744
2027,186.197112845744
2028,186.197112845744
2029,186.197112845744
2030,186.197112845744
2031,186.197112845744
2032,186.197112845744
2033,186.197112845744
2034,186.197112845744
2035,186.197112845744
2036,186.197112845744
2037,186.197112845744
2038,186.197112845744
2039,186.197112845744
2040,186.197112845744
2041,186.197112845744
2042,186.197112845744
2043,186.197112845744
2044,186.197112845744
2045,186.197112845744
2046,186.197112845744
2047,186.197112845744
2048,186.197112845744
2049,186.197112845744
2050,186.197112845744
2051,186.197112845744
2052,186.197112845744
2053,186.197112845744
2054,186.197112845744
2055,186.197112845744
2056,186.197112845744
2057,186.197112845744
2058,186.197112845744
2059,186.197112845744
2060,186.197112845744
2061,186.197112845744
2062,186.197112845744
2063,186.197112845744
2064,186.197112845744
2065,186.197112845744
2066,186.197112845744
2067,186.197112845744
2068,186.197112845744
2069,186.197112845744
2070,186.197112845744
2071,186.197112845744
2072,186.197112845744
2073,186.197112845744
2074,186.197112845744
2075,186.197112845744
2076,186.197112845744
2077,186.197112845744
2078,186.197112845744
2079,186.197112845744
2080,186.197112845744
2081,186.197112845744
2082,186.197112845744
2083,186.197112845744
2084,186.197112845744
2085,186.197112845744
2086,186.197112845744
2087,186.197112845744
2088,186.197112845744
2089,186.197112845744
2090,186.197112845744
2091,186.197112845744
2092,186.197112845744
2093,186.197112845744
2094,186.197112845744
2095,186.197112845744
2096,186.197112845744
2097,186.197112845744
2098,186.197112845744
2099,186.197112845744
2100,186.197112845744
2101,186.197112845744
2102,186.197112845744
2103,186.197112845744
2104,186.197112845744
2105,186.197112845744
2106,186.197112845744
2107,186.197112845744
2108,186.197112845744
2109,186.197112845744
2110,186.197112845744
2111,186.197112845744
